TypeI,TypeII
0.1218,0.02
0.0403,0.0163
0.1166,0.156
0.2375,0.2885
0.1256,0.1483
0.14,0.1019
0.2439,0.1867
0.0072,0.0233
0.0707,0.1067
0.1036,0.1011
0.1632,0.2407
0.0788,0.0666
0.0365,0.0133
0.2409,0.2897
0.0408,0.0425
0.2204,0.2191
0.1847,0.0789
0.3332,0.357
0.0676,0.076
0.1097,0.0913
0.0952,0.04
0.2095,0.1467
